제품명,표준코드명
그린콜샷에스시럽,"""8806436001800"",""8806436001817"",""8806436001824"",""8806436001831"""
그린콜연질캡슐,"8806616000210"""""""
그린쿨인후스프레이액(포비돈요오드),"""8806483011319"",""8806483011302"""
그린큐액(돔페리돈),"""8806432000203"",""8806432000210"""
그린클로르헥시딘크림(클로르헥시딘글루콘산염액),"""8806483001501"",""8806483001518"""
그린태고액1%(알킬디아미노에틸글리신염산염액),"""8806483001600"",""8806483001617"",""8806483001624"",""8806483001631"",""8806483001648"""
"그린티눈액(수출명 : 1. Green Tinun Solution, 2. Collopaint Wart Solution)","""8806483002003"",""8806483002010"",""8806483002027"""
그린펜시럽(이부프로펜),"""8806436002203"",""8806436002210"",""8806436002227"""
그린포비돈브러쉬액(포비돈요오드),"""8806483011500"",""8806483011517"""
그린포비돈세정액(포비돈요오드),"""8806483002102"",""8806483002119"",""8806483002126"""
그린포비돈스틱스왑(포비돈요오드),"""8806483002201"",""8806483002218"",""8806483002225"",""8806483002232"",""8806483002249"",""8806483002256"",""8806483002263"",""8806483002270"",""8806483002287"""
그린포비돈요오드액(수출명 : Green Povidone-Iodine Topical Solution),"""8806483002300"",""8806483002317"",""8806483002324"",""8806483002331"",""8806483002348"",""8806483002355"""
그린헥시디놀액,"8806483009514"""""""
그린헥시디놀액2%,"""8806483011104"",""8806483011111"",""8806483011128"""
그린헥시딘0.5%액(클로르헥시딘글루콘산염액),"""8806483012002"",""8806483012217"",""8806483012118"",""8806483012019"",""8806483012101"",""8806483012200"""
그린헥시딘가글액(클로르헥시딘글루콘산염액),"""8806483012309"",""8806483012316"""
그린헥시딘가글액0.12%(클로르헥시딘글루콘산염액),"""8806483013108"",""8806483013115"",""8806483013122"",""8806483013139"""
그린헥시딘브러쉬액(클로르헥시딘글루콘산염액),"""8806483011609"",""8806483011616"""
그린헥시딘세정액4%(클로르헥시딘글루콘산염액),"""8806483011807"",""8806483011814"",""8806483011821"""
그린헥시딘스틱스왑액,"""8806483011203"",""8806483011210"",""8806483011227"",""8806483011234"""
그린헥시딘액5%(클로르헥시딘글루콘산염액),"""8806483002508"",""8806483002515"",""8806483002522"""
글로게이트정(알마게이트),"""8806932009102"",""8806932009119"",""8806932009126"",""8806932009133"""
글로덱시정300mg(덱시부프로펜),"""8806932006309"",""8806932006316"",""8806932006323"",""8806932006330"""
글로아스피린장용정100mg(아스피린),"""8806932009607"",""8806932009614"",""8806932009621"""
글루100정(글루타티온(환원형)),"""8806573060104"",""8806573060111"",""8806573060128"",""8806573060135"",""8806573060142"""
글루비타정,"8806646026617"""""""
글루원정,"8806696055230"""""
글루콤액,"8806428001412"""""
글루타틴정100mg(글루타티온(환원형)),"""8806255009209"",""8806255009216"",""8806255009223"",""8806255009230"",""8806255009247"""
글린타민캡슐,"8800548014017"""""
글치온정(글루타티온(환원형)),"""8806985043207"",""8806985043214"""
기가렉스연질캡슐,"""8806616037506"",""8806616037513"""
기가에이연질캡슐,"""8806529000505"",""8806616028009"",""8806529000512"",""8806616028016"",""8806529000529"""
기가엔드연질캡슐,"""8806805006405"",""8806805006412"",""8806805006429"""
기가제로연질캡슐,"""8800540000209"",""8800542000207"",""8806129001506"",""8800540000216"",""8800542000214"",""8800551021729"",""8806129001513"",""8800540000223"",""8800542000221"",""8800551021712"",""8800540000230"",""8800551021736"",""8800551021705"""
기가파워연질캡슐,"""8806458041518"",""8806458041501"""
기가프신연질캡슐,"""8806452093315"",""8806452093308"""
기감탕노즈액,"""8806230033205"",""8806230033212"",""8806230033229"""
기감탕에프액,"""8806230033304"",""8806230033311"",""8806230033328"""
기감탕코프액,"""8806230033106"",""8806230033113"",""8806230033120"""
기공활혈고(수입명:CHIKUNGHUOSHIUEHKAO),"""8806606000107"",""8806606000114"",""8806606000121"",""8806606000138"""
기노엘연질캡슐(L-시스틴),"""8806545000503"",""8806985004505"",""8806545000510"",""8806985004512"",""8806985004529"""
기모타부정(수출명:케이티정),"""8806454000403"",""8806454000410"",""8806454000427"",""8806454000434"",""8806454000441"",""8806454000458"""
기스톱정(세티리진염산염),"""8806696036208"",""8806719002302"",""8806696036215"",""8806719002319"",""8806696036222"",""8806719002326"",""8806696036239"",""8806719002333"",""8806719002340"",""8806719002357"",""8806719002364"""
기치코프에스캡슐,"""8806452042009"",""8806518001001"",""8806452042016"",""8806518001018"",""8806452042023"""
까스명수에프액,"8806473041715"""""
까스속청액,"8806433000714"""""""
까스앤프리츄정80밀리그램(시메티콘),"""8806435074805"",""8806435074812"""
까스활명수큐액,"8806427000911"""""""
나나정500밀리그램(아세트아미노펜),"""8806707020219"",""8806707020202"",""8806707020226"",""8806707020233"",""8806707020240"""
나노디오정600밀리그램(디오스민),"""8806707019701"",""8806707019718"",""8806707019725"",""8806707019732"",""8806707019749"""
나노민연질캡슐,"8806458017018"""""
나노텍정(세티리진염산염),"""8806707006701"",""8806707006718"",""8806707006725"",""8806707006732"""
나노파모정10밀리그램(파모티딘),"""8806707020301"",""8806707020318"",""8806707020325"",""8806707020332"""
나녹시딜액2%(미녹시딜),"""8806589000101"",""8806589000118"",""8806589000125"",""8806589000132"",""8806589000149"""
나녹시딜액3%(미녹시딜),"""8806589000200"",""8806589000217"",""8806589000224"",""8806589000231"",""8806589000248"""
나녹시딜액5%(미녹시딜),"""8806589000309"",""8806589000316"",""8806589000323"",""8806589000330"",""8806589000347"""
나니실크림(테르비나핀염산염),"""8806452042900"",""8806518001100"",""8806452042917"",""8806518001117"",""8806452042924"",""8806518001124"",""8806452042931"",""8806518001131"""
